date,open,high,low,close
2024-07-04 23:00:00,1.08119,1.0812,1.0811,1.08114
2024-07-04 23:05:00,1.08114,1.08115,1.08113,1.08114
2024-07-04 23:10:00,1.08115,1.08119,1.08109,1.08115
2024-07-04 23:15:00,1.08115,1.08116,1.08114,1.08115
2024-07-04 23:20:00,1.08115,1.08116,1.08107,1.08109
2024-07-04 23:25:00,1.0811,1.0811,1.08105,1.08105
2024-07-04 23:30:00,1.08106,1.08106,1.08102,1.08104
2024-07-04 23:35:00,1.08104,1.08104,1.08102,1.08102
2024-07-04 23:40:00,1.08102,1.08102,1.08096,1.081
2024-07-04 23:45:00,1.081,1.08101,1.08099,1.081
2024-07-04 23:50:00,1.081,1.08107,1.081,1.08102
2024-07-04 23:55:00,1.08103,1.08107,1.08103,1.08106
2024-07-05 00:00:00,1.08105,1.08129,1.08104,1.08118
2024-07-05 00:05:00,1.08118,1.08131,1.08115,1.0813
2024-07-05 00:10:00,1.08128,1.08136,1.08118,1.0812
2024-07-05 00:15:00,1.0812,1.08132,1.08118,1.08131
2024-07-05 00:20:00,1.08132,1.08133,1.08116,1.08128
2024-07-05 00:25:00,1.08128,1.08145,1.08128,1.08144
2024-07-05 00:30:00,1.08144,1.0817,1.08143,1.0816
2024-07-05 00:35:00,1.0816,1.08166,1.08154,1.0816
2024-07-05 00:40:00,1.0816,1.08176,1.08158,1.08176
2024-07-05 00:45:00,1.08175,1.08182,1.08162,1.0817
2024-07-05 00:50:00,1.08169,1.08169,1.08153,1.0816
2024-07-05 00:55:00,1.08161,1.08162,1.0814,1.08149
2024-07-05 01:00:00,1.08148,1.08154,1.08142,1.08145
2024-07-05 01:05:00,1.08146,1.08152,1.0814,1.08152
2024-07-05 01:10:00,1.08152,1.0817,1.08152,1.0817
2024-07-05 01:15:00,1.0817,1.0818,1.08166,1.0818
2024-07-05 01:20:00,1.08178,1.0818,1.0817,1.08171
2024-07-05 01:25:00,1.08172,1.08176,1.08155,1.08158
2024-07-05 01:30:00,1.08158,1.0817,1.0815,1.0815
2024-07-05 01:35:00,1.08151,1.08154,1.0814,1.08154
2024-07-05 01:40:00,1.08154,1.08162,1.08145,1.08155
2024-07-05 01:45:00,1.08154,1.08162,1.0815,1.08155
2024-07-05 01:50:00,1.08155,1.08175,1.0815,1.08175
2024-07-05 01:55:00,1.08175,1.08175,1.08158,1.0816
2024-07-05 02:00:00,1.08159,1.08159,1.08144,1.0815
2024-07-05 02:05:00,1.0815,1.08161,1.08148,1.08159
2024-07-05 02:10:00,1.0816,1.08161,1.0815,1.08154
2024-07-05 02:15:00,1.08154,1.08162,1.08153,1.08158
2024-07-05 02:20:00,1.08158,1.0817,1.08152,1.0817
2024-07-05 02:25:00,1.0817,1.08175,1.08166,1.08174
2024-07-05 02:30:00,1.08174,1.08175,1.08166,1.08166
2024-07-05 02:35:00,1.08166,1.08168,1.08162,1.08165
2024-07-05 02:40:00,1.08164,1.08172,1.08164,1.08169
2024-07-05 02:45:00,1.08168,1.08172,1.08162,1.0817
2024-07-05 02:50:00,1.08171,1.08176,1.08168,1.08176
2024-07-05 02:55:00,1.08176,1.08182,1.08175,1.08182
2024-07-05 03:00:00,1.08181,1.08218,1.0818,1.08203
2024-07-05 03:05:00,1.08202,1.08206,1.08197,1.08202
2024-07-05 03:10:00,1.08203,1.0821,1.08192,1.08194
2024-07-05 03:15:00,1.08195,1.08202,1.08188,1.082
2024-07-05 03:20:00,1.082,1.08244,1.082,1.0823
2024-07-05 03:25:00,1.0823,1.08243,1.08227,1.08242
2024-07-05 03:30:00,1.08242,1.08242,1.08231,1.08237
2024-07-05 03:35:00,1.08236,1.08247,1.08233,1.08238
2024-07-05 03:40:00,1.08237,1.0824,1.08224,1.08226
2024-07-05 03:45:00,1.08226,1.08227,1.08208,1.08208
2024-07-05 03:50:00,1.08208,1.08214,1.08205,1.0821
2024-07-05 03:55:00,1.0821,1.08225,1.08205,1.0822
2024-07-05 04:00:00,1.0822,1.0822,1.08199,1.08202
2024-07-05 04:05:00,1.08201,1.08215,1.08201,1.08206
2024-07-05 04:10:00,1.08205,1.08212,1.08203,1.08207
2024-07-05 04:15:00,1.08206,1.08212,1.08204,1.08211
2024-07-05 04:20:00,1.0821,1.08212,1.08202,1.0821
2024-07-05 04:25:00,1.0821,1.08212,1.08206,1.0821
2024-07-05 04:30:00,1.08209,1.0821,1.08204,1.08206
2024-07-05 04:35:00,1.08205,1.08214,1.08203,1.08205
2024-07-05 04:40:00,1.08205,1.08215,1.08204,1.08214
2024-07-05 04:45:00,1.08214,1.08215,1.08209,1.08212
2024-07-05 04:50:00,1.08212,1.08221,1.08209,1.0822
2024-07-05 04:55:00,1.08221,1.08228,1.08219,1.08221
2024-07-05 05:00:00,1.08221,1.08222,1.08215,1.08216
2024-07-05 05:05:00,1.08216,1.08217,1.08204,1.08208
2024-07-05 05:10:00,1.08209,1.0821,1.08203,1.08204
2024-07-05 05:15:00,1.08204,1.08205,1.08194,1.08195
2024-07-05 05:20:00,1.08195,1.08206,1.08194,1.08202
2024-07-05 05:25:00,1.08202,1.08206,1.08198,1.082
2024-07-05 05:30:00,1.082,1.08212,1.082,1.0821
2024-07-05 05:35:00,1.0821,1.08214,1.082,1.082
2024-07-05 05:40:00,1.082,1.08202,1.08194,1.082
2024-07-05 05:45:00,1.08201,1.08205,1.08197,1.082
2024-07-05 05:50:00,1.08201,1.08219,1.082,1.08216
2024-07-05 05:55:00,1.08216,1.08226,1.08215,1.08216
2024-07-05 06:00:00,1.08216,1.08238,1.08209,1.08236
2024-07-05 06:05:00,1.08237,1.08238,1.08226,1.08232
2024-07-05 06:10:00,1.08232,1.08232,1.08216,1.08218
2024-07-05 06:15:00,1.08217,1.08235,1.08208,1.08228
2024-07-05 06:20:00,1.08228,1.0824,1.08224,1.0823
2024-07-05 06:25:00,1.0823,1.08233,1.08215,1.08222
2024-07-05 06:30:00,1.08221,1.0824,1.08221,1.08232
2024-07-05 06:35:00,1.08231,1.0826,1.08225,1.08255
2024-07-05 06:40:00,1.08254,1.08255,1.08239,1.0824
2024-07-05 06:45:00,1.08238,1.08245,1.08217,1.08238
2024-07-05 06:50:00,1.08238,1.08239,1.08215,1.08215
2024-07-05 06:55:00,1.08216,1.08216,1.0819,1.08194
2024-07-05 07:00:00,1.08195,1.08202,1.08166,1.08188
2024-07-05 07:05:00,1.08189,1.08221,1.08189,1.08221
2024-07-05 07:10:00,1.0822,1.0825,1.08216,1.08238
2024-07-05 07:15:00,1.08237,1.08238,1.08212,1.08236
2024-07-05 07:20:00,1.08236,1.08255,1.08206,1.08212
2024-07-05 07:25:00,1.08213,1.08242,1.0821,1.0824
2024-07-05 07:30:00,1.08239,1.08257,1.08228,1.08229
2024-07-05 07:35:00,1.08228,1.08273,1.0822,1.08273
2024-07-05 07:40:00,1.08274,1.0828,1.0826,1.08268
2024-07-05 07:45:00,1.08269,1.08272,1.08249,1.08252
2024-07-05 07:50:00,1.08251,1.083,1.08251,1.08296
2024-07-05 07:55:00,1.08295,1.08304,1.08282,1.08292
2024-07-05 08:00:00,1.08292,1.08292,1.08252,1.08289
2024-07-05 08:05:00,1.08289,1.0829,1.08264,1.08268
2024-07-05 08:10:00,1.08266,1.08269,1.08248,1.0826
2024-07-05 08:15:00,1.0826,1.08265,1.08228,1.08236
2024-07-05 08:20:00,1.08236,1.08254,1.08234,1.08254
2024-07-05 08:25:00,1.08253,1.08268,1.08252,1.08264
2024-07-05 08:30:00,1.08264,1.08276,1.08264,1.0827
2024-07-05 08:35:00,1.08269,1.0827,1.08254,1.08264
2024-07-05 08:40:00,1.08265,1.08305,1.08265,1.08301
2024-07-05 08:45:00,1.083,1.08307,1.08279,1.08279
2024-07-05 08:50:00,1.0828,1.08298,1.08278,1.08292
2024-07-05 08:55:00,1.08292,1.08306,1.08281,1.08282
2024-07-05 09:00:00,1.08281,1.08292,1.08276,1.08284
2024-07-05 09:05:00,1.08284,1.08285,1.08265,1.08279
2024-07-05 09:10:00,1.08278,1.08295,1.08278,1.08294
2024-07-05 09:15:00,1.08294,1.08294,1.08284,1.08294
2024-07-05 09:20:00,1.08294,1.0831,1.08267,1.0828
2024-07-05 09:25:00,1.0828,1.08295,1.08269,1.08274
2024-07-05 09:30:00,1.08274,1.08286,1.08269,1.0827
2024-07-05 09:35:00,1.0827,1.083,1.08261,1.0827
2024-07-05 09:40:00,1.0827,1.08278,1.08265,1.08271
2024-07-05 09:45:00,1.08272,1.08283,1.0827,1.0827
2024-07-05 09:50:00,1.0827,1.0827,1.08258,1.0826
2024-07-05 09:55:00,1.08261,1.08274,1.0826,1.08266
2024-07-05 10:00:00,1.08266,1.08268,1.08254,1.08254
